slug,full_name,user_role,categories,work_subcategory_slugs,location,address,phone,public_email,website,business_hours,services,languages,bio,seo_title,seo_meta_description,seo_slug,seo_keywords,directory_claim_email
bp-bau-darmstadt,B&P Bau,company,Construction Company|Renovation|Electrician|Plumbing|HVAC|Painting,masonry-partitions|painting-walls|painting-facade|electro-wiring|plumbing-install|hvac-ac|drywall-install,"Darmstadt, Hessen, Germany",,,,https://www.b-pbau.de/,,New build and renovation|Interior fit-out|Facade and painting|Electrical works|Sanitary and climate systems,de,"Construction and renovation company headquartered in Darmstadt. Public service list covers new build and renovation, interior fit-out, facade and painting work, plus electrical, sanitary, and climate trades.",B&P Bau — Construction Company in Darmstadt | DImarket,"B&P Bau offers new build and renovation, interior fit-out, facade and painting in Darmstadt, Germany. Find contact details on DImarket.",bp-bau-darmstadt,B&P Bau|Construction Company|Renovation|Electrician|Plumbing|HVAC|Painting|Darmstadt|Hessen|Germany|New build and renovation|Interior fit-out|Facade and painting|Electrical works|DImarket,directory+bp-bau-darmstadt@users.dimarket.app
domenico-di-santo-malerbetrieb-darmstadt,Domenico Di Santo Malerbetrieb,professional,Painting|Plastering|Drywall|Flooring|Renovation,painting-walls|painting-ceiling|plastering-manual|drywall-install|flooring-laminate|wallpaper-install,"Darmstadt, Hessen, Germany",,,,https://www.disanto-domenico.de/malerbetrieb-darmstadt/,,Painting|Wallpapering|Plastering|Drywall|Floor covering,de,"Family-run painting business serving Darmstadt and nearby towns. Publicly described services include painting, wallpapering, plastering, drywall, and floor covering for private, commercial, and institutional clients.",Domenico Di Santo Malerbetrieb — Painting in Darmstadt | DImarket,"Domenico Di Santo Malerbetrieb offers painting, wallpapering, plastering in Darmstadt, Germany. Find contact details on DImarket.",domenico-di-santo-malerbetrieb-darmstadt,Domenico Di Santo Malerbetrieb|Painting|Plastering|Drywall|Flooring|Renovation|Darmstadt|Hessen|Germany|Wallpapering|DImarket,directory+domenico-di-santo-malerbetrieb-darmstadt@users.dimarket.app
heinrich-schmid-darmstadt,Heinrich Schmid GmbH & Co. KG — Darmstadt,company,Painting|Drywall|Flooring|Tiles|Plastering|Insulation|Renovation,painting-walls|painting-facade|drywall-install|drywall-partitions|flooring-parquet|flooring-laminate|flooring-screed|tiling-install|plastering-manual|facade-insulation|insulation-thermal|facade-repair,"Darmstadt, Hessen, Germany","Gräfenhäuser Straße 36, 64293 Darmstadt",+49 6151 1301912,darmstadt@heinrich-schmid.de,https://www.heinrich-schmid.com/standorte/darmstadt-273/,,Painting|Drywall|Flooring and screed|Tiling|Plaster and stucco|Facade renovation|Thermal insulation|Project coordination,de|en,"Regional branch of a German trades company in Darmstadt. Public location lists painting, drywall, flooring, tiling, plaster, facade renovation, and insulation for residential and commercial interiors.",Heinrich Schmid GmbH & Co. KG — Darmstadt — Painting in Darmstadt | DI,"Heinrich Schmid GmbH & Co. KG — Darmstadt offers painting, drywall, flooring and screed in Darmstadt, Germany. Find contact details on DImarket.",heinrich-schmid-darmstadt,Heinrich Schmid GmbH & Co. KG — Darmstadt|Painting|Drywall|Flooring|Tiles|Plastering|Insulation|Renovation|Darmstadt|Hessen|Germany|Flooring and screed|Tiling|DImarket,directory+heinrich-schmid-darmstadt@users.dimarket.app
kraft-gmbh-darmstadt,Kraft GmbH Darmstadt,company,Painting|Drywall|Renovation|Construction Company,painting-walls|painting-ceiling|drywall-install|plastering-manual,"Darmstadt, Hessen, Germany","Messeler-Park-Straße 119 A, 64291 Darmstadt",+49 6151 384170,,https://www.kraft-gmbh-darmstadt.de/,,Interior painting|Finishing trades|Renovation of living and work spaces,de,Darmstadt finishing trades company with a public workshop address in the Messeler Park area. Listed services focus on interior painting and renovation of residential and commercial rooms.,Kraft GmbH Darmstadt — Painting in Darmstadt | DImarket,"Kraft GmbH Darmstadt offers interior painting, finishing trades, renovation of living and work spaces in Darmstadt, Germany. Find contact details on DImarket.",kraft-gmbh-darmstadt,Kraft GmbH Darmstadt|Painting|Drywall|Renovation|Construction Company|Darmstadt|Hessen|Germany|Interior painting|Finishing trades|Renovation of living and work spaces|DImarket,directory+kraft-gmbh-darmstadt@users.dimarket.app
patrick-noel-malerhandwerk-darmstadt,Patrick Noël Malerhandwerk GmbH,company,Painting|Plastering|Demolition|Renovation,painting-walls|painting-ceiling|painting-facade|plastering-manual|demolition-walls|demolition-partitions,"Darmstadt, Hessen, Germany","In der Kirchtanne 27, 64297 Darmstadt",+49 6151 5013326,info@noel-malerhandwerk.de,https://www.noel-malerhandwerk.de/,,Painting and coating|Interior finishing|Selective demolition / strip-out|Damage-related renovation support,de,"Registered painting trades company in Darmstadt-Eberstadt. Public impressum lists painting and related finishing work, with selective demolition and renovation support for private and commercial properties.",Patrick Noël Malerhandwerk GmbH — Painting in Darmstadt | DImarket,"Patrick Noël Malerhandwerk GmbH offers painting and coating, interior finishing, selective demolition / strip-out in Darmstadt, Germany. Find contact details on",patrick-noel-malerhandwerk-darmstadt,Patrick Noël Malerhandwerk GmbH|Painting|Plastering|Demolition|Renovation|Darmstadt|Hessen|Germany|Painting and coating|Interior finishing|Selective demolition / strip-out|Damage-related renovation support|DImarket,directory+patrick-noel-malerhandwerk-darmstadt@users.dimarket.app
stark-elektro-darmstadt,Stark Elektro,company,Electrician,electro-wiring|electro-rewiring|electro-panels|electro-lighting|electro-smart-home|solar-panels|solar-installation|smart-home-systems,"Darmstadt, Hessen, Germany","Moltkestraße 21, 64295 Darmstadt",+49 177 6988882,info@stark-elektro.de,https://stark-elektro.de/,Mon–Fri 08:00–17:00,Electrical installation|Rewiring and renovation electrics|Photovoltaic systems|Wallbox / EV charging|Smart home and network cabling|Electrical planning,de|en,"Master electrician company based in Darmstadt serving the Rhine-Main area. Publicly listed services cover electrical installation and renovation, photovoltaic systems, EV wallboxes, and smart-home wiring for residential and commercial clients.",Stark Elektro — Electrician in Darmstadt | DImarket,"Stark Elektro offers electrical installation, rewiring and renovation electrics, photovoltaic systems in Darmstadt, Germany. Find contact details on DImarket.",stark-elektro-darmstadt,Stark Elektro|Electrician|Darmstadt|Hessen|Germany|Electrical installation|Rewiring and renovation electrics|Photovoltaic systems|Wallbox / EV charging|DImarket,directory+stark-elektro-darmstadt@users.dimarket.app
zimmermann-und-sohn-darmstadt,Zimmermann & Sohn GmbH,company,Painting|Plastering|Drywall|Flooring|Tiles|Insulation|Renovation,painting-walls|painting-facade|plastering-manual|plastering-decorative|drywall-install|flooring-parquet|tiling-install|facade-insulation|wallpaper-install,"Darmstadt, Hessen, Germany","Marienburgstraße 1, 64297 Darmstadt",+49 6151 46297,,https://zimmermannundsohn.de/,,Painting and wallpapering|Plastering|Drywall|Flooring and tiling|Facade renovation|Thermal insulation|Heritage restoration support,de,"Long-established painting and finishing company in Darmstadt. Public site lists painting, plastering, drywall, flooring, tiling, facade work, and insulation for renovation and heritage-related projects.",Zimmermann & Sohn GmbH — Painting in Darmstadt | DImarket,"Zimmermann & Sohn GmbH offers painting and wallpapering, plastering, drywall in Darmstadt, Germany. Find contact details on DImarket.",zimmermann-und-sohn-darmstadt,Zimmermann & Sohn GmbH|Painting|Plastering|Drywall|Flooring|Tiles|Insulation|Renovation|Darmstadt|Hessen|Germany|Painting and wallpapering|Flooring and tiling|DImarket,directory+zimmermann-und-sohn-darmstadt@users.dimarket.app
carbonell-reformas-alicante,Carbonell Reformas Alicante,company,Renovation|Plumbing|Electrician|Tiles|Interior Design,plumbing-install|electro-wiring|tiling-bathroom|tiling-kitchen|painting-walls|carpentry-doors-install|design-engineering-interior|demolition-partitions,"Alicante, Valencia, Spain",,+34 966 262 802,,https://carbonellreformasalicante.com/,Mon–Sat 09:00–20:30,Full flat renovations|Bathroom renovations|Kitchen renovations|Facade rehabilitation|Commercial and office fit-out,es|en,"Alicante renovation firm established around 2010. Public listings cover full-flat, bathroom, and kitchen renovations plus facade and commercial fit-out work, with published weekday and Saturday hours.",Carbonell Reformas Alicante — Renovation in Alicante | DImarket,"Carbonell Reformas Alicante offers full flat renovations, bathroom renovations, kitchen renovations in Alicante, Spain. Find contact details on DImarket.",carbonell-reformas-alicante,Carbonell Reformas Alicante|Renovation|Plumbing|Electrician|Tiles|Interior Design|Alicante|Valencia|Spain|Full flat renovations|Bathroom renovations|Kitchen renovations|Facade rehabilitation|DImarket,directory+carbonell-reformas-alicante@users.dimarket.app
coypa-fontaneria-reformas-alicante,Coypa Reformas y Fontanería Alicante,company,Plumbing|Renovation|Electrician|HVAC,plumbing-install|plumbing-repair|plumbing-showers|electro-wiring|hvac-ac|tiling-bathroom,"Alicante, Valencia, Spain","Calle Nou d'Octubre, 03012 Alicante",,,https://fontaneriayreformasalicante.com/,,Plumbing repairs and bathroom renovations|Electrical interventions|Air-conditioning related works|Vertical / height-access interventions,es,"Alicante plumbing and renovation company with a public address on Calle Nou d’Octubre. Services listed include bathroom renovations, plumbing repairs, electrical work, and air-conditioning interventions.",Coypa Reformas y Fontanería Alicante — Plumbing in Alicante | DImarket,"Coypa Reformas y Fontanería Alicante offers plumbing repairs and bathroom renovations, electrical interventions, air-conditioning related works in Alicante, Spa",coypa-fontaneria-reformas-alicante,Coypa Reformas y Fontanería Alicante|Plumbing|Renovation|Electrician|HVAC|Alicante|Valencia|Spain|Plumbing repairs and bathroom renovations|Electrical interventions|Air-conditioning related works|Vertical / height-access interventions|DImarket,directory+coypa-fontaneria-reformas-alicante@users.dimarket.app
explanada-reformas-alicante,Explanada Reformas,company,Renovation|Construction Company,masonry-partitions|plumbing-install|electro-wiring|painting-walls|tiling-install|flooring-laminate,"Alicante, Valencia, Spain","Calle Jacinto Maltés 28, 03012 Alicante",+34 865 443 420,,https://reformasintegralesalicante.pro/,,Full home renovations|Commercial premises renovations|Second-home renovations,es,"Alicante renovation company with a public office on Calle Jacinto Maltés. Listed projects cover full residential renovations, commercial premises, and second homes in Alicante and nearby areas.",Explanada Reformas — Renovation in Alicante | DImarket,"Explanada Reformas offers full home renovations, commercial premises renovations, second-home renovations in Alicante, Spain. Find contact details on DImarket.",explanada-reformas-alicante,Explanada Reformas|Renovation|Construction Company|Alicante|Valencia|Spain|Full home renovations|Commercial premises renovations|Second-home renovations|DImarket,directory+explanada-reformas-alicante@users.dimarket.app
